country,iso3,loc_id,total_population_2022,adult_population_estimated,adult_ratio_used,latitude,longitude
Guinea,GIN,324,14363931,9336555,0.65,11.000000,-10.000000
Guinea-Bissau,GNB,624,1781308,1157850,0.65,12.000000,-15.000000
Guyana,GUY,328,772975,502434,0.65,5.000000,-59.000000
Haiti,HTI,332,11867032,7713571,0.65,19.000000,-72.416667
Holy See,VAT,336,882,573,0.65,41.900000,12.450000
Honduras,HND,340,9892632,6430211,0.65,15.000000,-86.500000
Hungary,HUN,348,9539502,6200676,0.65,47.000000,20.000000
Iceland,ISL,352,391810,254676,0.65,65.000000,-18.000000
India,IND,356,1417492000,921369800,0.65,20.000000,77.000000
Indonesia,IDN,360,284438782,184885208,0.65,-5.000000,120.000000
Iran (Islamic Republic of),IRN,364,85961000,55874650,0.65,32.000000,53.000000
Iraq,IRQ,368,46118793,29977215,0.65,33.000000,44.000000
Ireland,IRL,372,5458600,3548090,0.65,53.000000,-8.000000
Isle of Man,IMN,833,84530,54944,0.65,54.250000,-4.500000
Israel,ISR,376,10134800,6587620,0.65,31.470000,35.130000
Italy,ITA,380,58927633,38302961,0.65,42.833333,12.833333
Jamaica,JAM,388,2825544,1836604,0.65,18.250000,-77.500000
Japan,JPN,392,123210000,80086500,0.65,36.000000,138.000000
Jersey,JEY,832,103267,67124,0.65,49.250000,-2.166667
Jordan,JOR,400,11734000,7627100,0.65,31.000000,36.000000
Kazakhstan,KAZ,398,20426568,13277269,0.65,48.019600,66.923700
Kenya,KEN,404,53330978,34665136,0.65,1.000000,38.000000
Kiribati,KIR,296,120740,78481,0.65,1.416667,173.000000
Kosovo (under UNSC res. 1244),XKX,412,,,0.65,,
Kuwait,KWT,414,4881254,3172815,0.65,29.500000,45.750000
Kyrgyzstan,KGZ,417,7281800,4733170,0.65,41.000000,75.000000
Lao People's Democratic Republic,LAO,418,7647000,4970550,0.65,18.000000,105.000000
Latvia,LVA,428,1829000,1188850,0.65,57.000000,25.000000
Lebanon,LBN,422,5490000,3568500,0.65,33.833333,35.833333
Lesotho,LSO,426,2116427,1375678,0.65,-29.500000,28.500000
