step,orbit_index,timestamp_s,orbit_timestamp_s,timestamp_utc,node_population_ratio,demd_population_ratio,covered_population_total,covered_population_points,covered_population_ratio,calculated_nodes,calculated_demodulators
0,2896,0.0,0.0,2026-04-22T14:51:42.990609+00:00,1e-07,1e-07,43095005,8,0.018168717252137298,237,237
1,2897,1.0,1.0,2026-04-22T14:51:43.990609+00:00,1e-07,1e-07,39397111,7,0.016609696885058214,237,237
2,2898,2.0,2.0,2026-04-22T14:51:44.990609+00:00,1e-07,1e-07,37959845,6,0.016003750103752344,237,237
3,2899,3.0,3.0,2026-04-22T14:51:45.990609+00:00,1e-07,1e-07,37959845,6,0.016003750103752344,237,237
4,2900,4.0,4.0,2026-04-22T14:51:46.990609+00:00,1e-07,1e-07,37380446,5,0.015759477325337046,237,237
5,2901,5.0,5.0,2026-04-22T14:51:47.990609+00:00,1e-07,1e-07,1704446,4,0.0007185890208282007,237,237
