step,orbit_index,timestamp_s,orbit_timestamp_s,timestamp_utc,sat_x_m,sat_y_m,sat_z_m,sat_radius_m,node_population_ratio,demd_population_ratio,calculated_nodes,calculated_demodulators
0,2896,0.0,0.0,2026-04-22T14:51:42.990609+00:00,0.0,0.0,593029.0,6964029.0,1e-07,1e-07,237,237
1,2897,1.0,1.0,2026-04-22T14:51:43.990609+00:00,7569.297165777477,-1.8910717224216416e-14,593024.8905226113,6964029.004109478,1e-07,1e-07,237,237
2,2898,2.0,2.0,2026-04-22T14:51:44.990609+00:00,15138.585398262036,-9.49257051836802e-15,593012.5620953068,6964029.016437906,1e-07,1e-07,237,237
3,2899,3.0,3.0,2026-04-22T14:51:45.990609+00:00,22707.85576417138,-1.0235250369007583e-13,592992.0147326812,6964029.036985268,1e-07,1e-07,237,237
4,2900,4.0,4.0,2026-04-22T14:51:46.990609+00:00,30277.099330244528,6.51638944439566e-14,592963.2484590579,6964029.065751541,1e-07,1e-07,237,237
5,2901,5.0,5.0,2026-04-22T14:51:47.990609+00:00,37846.30716325236,-1.9322974037152016e-13,592926.2633084869,6964029.102736691,1e-07,1e-07,237,237
