step,elevation_deg,target_elevation_deg,footprint_km,n_user,estimated_devices_total,snr_mean_db,snr_p50_db,snr_p90_db,sinr_mean_db,sinr_p50_db,sinr_p90_db,snr_minus_sinr_mean_db
998,90.0,90,500,5000,79988,-24.51299938157675,-24.01919948003141,-19.05852041931956,-24.78270483715656,-24.192847437216784,-19.71407623558096,0.26970545557981
1017,55.344586079125804,55,500,5000,54021,-24.321647585710668,-23.68390005401424,-18.948005768686734,-24.59695945278512,-23.8785126957573,-19.58721438267163,0.27531186707445543
1042,29.12909334119132,25,500,33,33,-24.389121550244273,-24.174842144541344,-18.49051383371574,-24.657469926456052,-24.30907631583007,-19.220515947375176,0.2683483762117841
