elevation_deg,footprint_count,snr_mean_db,snr_p50_db,snr_p90_db,sinr_mean_db,sinr_p50_db,sinr_p90_db
29,1,-24.389121550244266,-24.17484214454134,-18.4905138337158,-24.65746992645605,-24.309076315830062,-19.220515947375233
55,1,-24.321647585710696,-23.68390005401425,-18.94800576868674,-24.596959452785157,-23.87851269575731,-19.587214382671633
90,1,-24.51299938157676,-24.019199480031432,-19.05852041931956,-24.78270483715657,-24.192847437216848,-19.714076235580958
