nodes,100.000000,113.000000,127.000000,143.000000,160.000000,180.000000,203.000000,229.000000,257.000000,289.000000,326.000000,367.000000,412.000000,464.000000,522.000000,588.000000,661.000000,744.000000,838.000000,943.000000,1061.000000,1194.000000,1343.000000,1512.000000,1701.000000,1914.000000,2154.000000,2424.000000,2728.000000,3070.000000,3455.000000,3888.000000,4375.000000,4924.000000,5541.000000,6236.000000,7017.000000,7897.000000,8886.000000,10000.000000
driver-CR1-1000p-dec_payld-base-tx_power_mw,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000,1000.000000
driver-CR1-1000p-dec_payld-base-attenuation_linear,8.581933e-16,7.667081e-16,7.574508e-16,7.768444e-16,7.912764e-16,7.936239e-16,7.831789e-16,7.897051e-16,8.248158e-16,8.480976e-16,8.655780e-16,8.592991e-16,8.635888e-16,8.636561e-16,8.313824e-16,8.139807e-16,8.005859e-16,8.061324e-16,8.270738e-16,8.385620e-16,8.370145e-16,8.477310e-16,8.504041e-16,8.613467e-16,8.579170e-16,8.553344e-16,8.481942e-16,8.507222e-16,8.518596e-16,8.413749e-16,8.413975e-16,8.416507e-16,8.443018e-16,8.447027e-16,8.415644e-16,8.440848e-16,8.418770e-16,8.423327e-16,8.419223e-16,8.394184e-16
driver-CR1-1000p-dec_payld-base-attenuation_db,149.455437,149.682544,149.705832,149.704750,149.658468,149.651075,149.680144,149.655770,149.582621,149.531231,149.495824,149.511150,149.503367,149.517618,149.570798,149.587563,149.609330,149.598990,149.570982,149.551998,149.562876,149.544785,149.527605,149.508945,149.514150,149.520828,149.536473,149.530494,149.529267,149.552471,149.555927,149.550993,149.544621,149.543054,149.544989,149.543238,149.543904,149.545074,149.545174,149.551760
driver-CR1-1000p-dec_payld-base-rx_power_mw,2.777059e-10,2.481019e-10,2.451063e-10,2.513819e-10,2.560520e-10,2.568117e-10,2.534317e-10,2.555436e-10,2.669051e-10,2.744390e-10,2.800956e-10,2.780637e-10,2.794519e-10,2.794736e-10,2.690301e-10,2.633990e-10,2.590645e-10,2.608593e-10,2.676358e-10,2.713534e-10,2.708526e-10,2.743204e-10,2.751854e-10,2.787263e-10,2.776165e-10,2.767808e-10,2.744703e-10,2.752883e-10,2.756564e-10,2.722636e-10,2.722709e-10,2.723528e-10,2.732107e-10,2.733404e-10,2.723249e-10,2.731405e-10,2.724261e-10,2.725735e-10,2.724407e-10,2.716305e-10
driver-CR1-1000p-dec_payld-base-rx_power_dbm,-96.227783,-96.589351,-96.611268,-96.481514,-96.433121,-96.422991,-96.448563,-96.450754,-96.295470,-96.195756,-96.111427,-96.154680,-96.139462,-96.123634,-96.283369,-96.389978,-96.460916,-96.435187,-96.324632,-96.268077,-96.262613,-96.204215,-96.205950,-96.156074,-96.168128,-96.175874,-96.204408,-96.195731,-96.190729,-96.233228,-96.226637,-96.233543,-96.225138,-96.224597,-96.247102,-96.233238,-96.249234,-96.246054,-96.247268,-96.257232
driver-CR1-1000p-dec_payld-base-noise_power_mw,9.642472e-12,9.642573e-12,9.642709e-12,9.642241e-12,9.642208e-12,9.642015e-12,9.642471e-12,9.642380e-12,9.642597e-12,9.642711e-12,9.642227e-12,9.642361e-12,9.642477e-12,9.642483e-12,9.642018e-12,9.642141e-12,9.642251e-12,9.642247e-12,9.642622e-12,9.642642e-12,9.642535e-12,9.642174e-12,9.642588e-12,9.642325e-12,9.642535e-12,9.642361e-12,9.641998e-12,9.642593e-12,9.642019e-12,9.642484e-12,9.642381e-12,9.642550e-12,9.642512e-12,9.642000e-12,9.642570e-12,9.642233e-12,9.642132e-12,9.642643e-12,9.641970e-12,9.642975e-12
driver-CR1-1000p-dec_payld-base-total_power_mw,2.934141e-10,2.602368e-10,2.554012e-10,2.619967e-10,2.691127e-10,2.695679e-10,2.645835e-10,2.685708e-10,2.793164e-10,2.883045e-10,2.959425e-10,2.953346e-10,2.974201e-10,2.972790e-10,2.889314e-10,2.840226e-10,2.815396e-10,2.842653e-10,2.941158e-10,2.994791e-10,3.020545e-10,3.075620e-10,3.116817e-10,3.198667e-10,3.182909e-10,3.232411e-10,3.252881e-10,3.336387e-10,3.394725e-10,3.423876e-10,3.533807e-10,3.588994e-10,3.721371e-10,3.794575e-10,3.932010e-10,4.066594e-10,4.228317e-10,4.383464e-10,4.601106e-10,4.783398e-10
driver-CR1-1000p-dec_payld-base-interference_mw,6.153278e-12,2.584532e-12,7.637118e-13,1.070745e-12,3.503083e-12,3.227013e-12,1.603591e-12,3.478357e-12,2.886058e-12,4.319728e-12,6.295753e-12,7.723199e-12,8.425563e-12,8.254253e-12,1.035486e-11,1.106848e-11,1.291767e-11,1.383597e-11,1.691618e-11,1.856244e-11,2.162419e-11,2.366983e-11,2.692213e-11,3.156001e-11,3.109247e-11,3.687092e-11,4.122722e-11,4.875231e-11,5.421296e-11,6.051690e-11,7.150271e-11,7.693100e-11,8.930930e-11,9.649614e-11,1.112526e-10,1.238925e-10,1.407766e-10,1.561402e-10,1.780358e-10,1.970729e-10
driver-CR1-1000p-dec_payld-base-snr_db,13.930333,13.568720,13.546741,13.676706,13.725114,13.735331,13.709554,13.707403,13.862589,13.962252,14.046799,14.003487,14.018652,14.034477,13.874952,13.768287,13.697299,13.723030,13.833417,13.889962,13.895475,13.954035,13.952114,14.002108,13.989960,13.982291,13.953921,13.962331,13.967592,13.924883,13.931521,13.924538,13.932960,13.933732,13.910970,13.924986,13.909035,13.911985,13.911074,13.900658
