country,iso3,latitude,longitude,adult_population_estimated,area_km2,overlap_fraction,covered_adult_population_estimated,distance_to_coverage_center_m,nearest_coverage_step,coverage_radius_m,in_coverage,assumed_device_penetration_ratio,estimated_devices,assumed_devices_per_demodulator,estimated_demodulators,coverage_strength,weighted_population,population_coverage_share,estimated_demodulators_proportional,coverage_center_latitude,coverage_center_longitude
Australia,AUS,-27.000000,133.000000,17898968,7692024.000,0.10210552689350011,1827584,374393,646,500000,True,0.001,1828,250,8,0.10210552689350011,1827584.0,0.021358122247945453,8,-27.765232,136.692815
Canada,CAN,60.000000,-95.000000,27073574,9984670.000,0.0030683840424860194,83072,2193976,1822,500000,True,0.001,83,250,1,0.0030683840424860194,83072.0,0.000970823738542975,0,67.152961,-52.532912
Greenland,GRL,72.000000,-40.000000,36752,2166086.000,0.33502102583052434,12313,431851,1793,500000,True,0.001,12,250,1,0.33502102583052434,12313.0,0.0001438962910809858,0,72.356192,-52.659931
Japan,JPN,36.000000,138.000000,80086500,377930.000,0.9999999999999999,80086500,148579,1001,500000,True,0.001,80086,250,321,0.9999999999999999,80086500.0,0.9359335917857037,325,36.094479,139.648509
Papua New Guinea,PNG,-6.000000,147.000000,7658013,462840.000,0.008209342558937906,62867,857202,769,500000,True,0.001,63,250,1,0.008209342558937906,62867.0,0.0007346973224549935,0,-5.696791,139.256583
Russian Federation,RUS,60.000000,100.000000,94918411,17098246.000,0.036794262562432296,3492453,2072002,1167,500000,True,0.001,3492,250,14,0.036794262562432296,3492453.0,0.04081467014331699,14,66.005658,139.720274
Saint Pierre and Miquelon,SPM,46.833333,-56.333333,3782,242.000,0.9999999999999999,3782,298501,1935,500000,True,0.001,4,250,1,0.9999999999999999,3782.0,4.4198470954949104e-05,0,46.870688,-52.407958
