elevation_bin,collision_rate,ecdf
<=25deg,0.0,0.00510204081632653
<=25deg,0.0,0.01020408163265306
<=25deg,0.0,0.015306122448979591
<=25deg,0.0,0.02040816326530612
<=25deg,0.0,0.025510204081632654
<=25deg,0.0,0.030612244897959183
<=25deg,0.0,0.03571428571428571
<=25deg,0.0,0.04081632653061224
<=25deg,0.0,0.04591836734693878
<=25deg,0.0,0.05102040816326531
<=25deg,0.0,0.05612244897959184
<=25deg,0.0,0.061224489795918366
<=25deg,0.0,0.0663265306122449
<=25deg,0.0,0.07142857142857142
<=25deg,0.0,0.07653061224489796
<=25deg,0.0,0.08163265306122448
<=25deg,0.0,0.08673469387755102
<=25deg,0.0,0.09183673469387756
<=25deg,0.0,0.09693877551020408
<=25deg,0.0,0.10204081632653061
<=25deg,0.0,0.10714285714285714
<=25deg,0.0,0.11224489795918367
<=25deg,0.0,0.11734693877551021
<=25deg,0.0,0.12244897959183673
<=25deg,0.0,0.12755102040816327
<=25deg,0.0,0.1326530612244898
<=25deg,0.0,0.1377551020408163
<=25deg,0.0,0.14285714285714285
<=25deg,0.0,0.14795918367346939
<=25deg,0.0,0.15306122448979592
<=25deg,0.0,0.15816326530612246
<=25deg,0.0,0.16326530612244897
<=25deg,0.0,0.1683673469387755
<=25deg,0.0,0.17346938775510204
<=25deg,0.0,0.17857142857142858
<=25deg,0.0,0.1836734693877551
<=25deg,0.0,0.18877551020408162
<=25deg,0.0,0.19387755102040816
<=25deg,0.0,0.1989795918367347
<=25deg,0.0,0.20408163265306123
<=25deg,0.0,0.20918367346938777
<=25deg,0.0,0.21428571428571427
<=25deg,0.0,0.2193877551020408
<=25deg,0.0,0.22448979591836735
<=25deg,0.0,0.22959183673469388
<=25deg,0.0,0.23469387755102042
<=25deg,0.0,0.23979591836734693
<=25deg,0.0,0.24489795918367346
<=25deg,0.0,0.25
<=25deg,0.0,0.25510204081632654
<=25deg,0.0,0.2602040816326531
<=25deg,0.0,0.2653061224489796
<=25deg,0.0,0.27040816326530615
<=25deg,0.0,0.2755102040816326
<=25deg,0.0,0.28061224489795916
<=25deg,0.0,0.2857142857142857
<=25deg,0.0,0.29081632653061223
<=25deg,0.0,0.29591836734693877
<=25deg,0.0,0.3010204081632653
<=25deg,0.0,0.30612244897959184
<=25deg,0.0,0.3112244897959184
<=25deg,0.0,0.3163265306122449
<=25deg,0.0,0.32142857142857145
<=25deg,0.0,0.32653061224489793
<=25deg,0.0,0.33163265306122447
<=25deg,0.0,0.336734693877551
<=25deg,0.0,0.34183673469387754
<=25deg,0.0,0.3469387755102041
<=25deg,0.0,0.3520408163265306
<=25deg,0.0,0.35714285714285715
<=25deg,0.0,0.3622448979591837
<=25deg,0.0,0.3673469387755102
<=25deg,0.0,0.37244897959183676
<=25deg,0.0,0.37755102040816324
<=25deg,0.0,0.3826530612244898
<=25deg,0.0,0.3877551020408163
<=25deg,0.0,0.39285714285714285
<=25deg,0.0,0.3979591836734694
<=25deg,0.0,0.4030612244897959
<=25deg,0.0,0.40816326530612246
<=25deg,0.0,0.413265306122449
<=25deg,0.0,0.41836734693877553
<=25deg,0.0,0.42346938775510207
<=25deg,0.0,0.42857142857142855
<=25deg,0.0,0.4336734693877551
<=25deg,0.0,0.4387755102040816
<=25deg,0.0,0.44387755102040816
<=25deg,0.0,0.4489795918367347
<=25deg,0.0,0.45408163265306123
<=25deg,0.0,0.45918367346938777
<=25deg,0.0,0.4642857142857143
<=25deg,0.0,0.46938775510204084
<=25deg,0.0,0.4744897959183674
<=25deg,0.0,0.47959183673469385
<=25deg,0.0,0.4846938775510204
<=25deg,0.0,0.4897959183673469
<=25deg,0.0,0.49489795918367346
<=25deg,0.0,0.5
<=25deg,0.0,0.5051020408163265
<=25deg,0.0,0.5102040816326531
<=25deg,0.0,0.5153061224489796
<=25deg,0.0,0.5204081632653061
<=25deg,0.0,0.5255102040816326
<=25deg,0.0,0.5306122448979592
<=25deg,0.0,0.5357142857142857
<=25deg,0.0,0.5408163265306123
<=25deg,0.0,0.5459183673469388
<=25deg,0.0,0.5510204081632653
<=25deg,0.0,0.5561224489795918
<=25deg,0.0,0.5612244897959183
<=25deg,0.0,0.5663265306122449
<=25deg,0.0,0.5714285714285714
<=25deg,0.0,0.576530612244898
<=25deg,0.0,0.5816326530612245
<=25deg,0.0,0.5867346938775511
<=25deg,0.0,0.5918367346938775
<=25deg,0.0,0.5969387755102041
<=25deg,0.0007843137254901489,0.6020408163265306
<=25deg,0.0007843137254901489,0.6071428571428571
