scope,collision_rate,ecdf
active_steps,0.0,0.07142857142857142
active_steps,0.0,0.14285714285714285
active_steps,0.0,0.21428571428571427
active_steps,0.0,0.2857142857142857
active_steps,0.0,0.35714285714285715
active_steps,0.0,0.42857142857142855
active_steps,0.0007843137254901489,0.5
active_steps,0.003076923076923088,0.5714285714285714
active_steps,0.003076923076923088,0.6428571428571429
active_steps,0.16997084548104957,0.7142857142857143
active_steps,0.16997084548104957,0.7857142857142857
active_steps,0.458587786259542,0.8571428571428571
active_steps,0.6684803001876172,0.9285714285714286
active_steps,0.6684803001876172,1.0
