step,orbit_index,orbit_timestamp_s,center_elevation_deg,center_slant_range_km,user_positions_count,user_distance_min_km,user_distance_max_km,user_distance_mean_km,elevation_impact_range_ratio,elevation_impact_fspl_delta_db,sample_user_positions_local_m,elev_90deg_num_users,elev_90deg_distance_km,elev_55deg_num_users,elev_55deg_distance_km,elev_25deg_num_users,elev_25deg_distance_km,elev_90deg_busy,elev_90deg_idle,elev_90deg_sleep,elev_90deg_energy_model_w,elev_55deg_busy,elev_55deg_idle,elev_55deg_sleep,elev_55deg_energy_model_w,elev_25deg_busy,elev_25deg_idle,elev_25deg_sleep,elev_25deg_energy_model_w
10,2906,10.0,82.72136779954268,597.4323086695882,237,593.0591249042666,617.1363175745015,602.0909196548316,1.003484866091386,0.030216542497748453,47532.0|38654.4|-294.6;3438.8|64400.0|-326.4;34620.6|-59116.5|-368.3;-85898.7|-48241.3|-761.8;63126.9|20198.6|-344.8;-15443.4|-8414.1|-24.3,79,604.5382946202961,79,724.0199208108679,79,1213.1433796392005,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
11,2907,11.0,82.00138485650122,598.3528755752684,237,593.0707859241886,620.4418260781307,603.7107220635353,1.0061845367725588,0.05355277448444822,-98266.3|-1809.7|-758.1;48710.4|-19317.4|-215.5;19272.6|-78500.9|-512.8;-24792.3|-6243.6|-51.3;-87806.1|-32162.3|-686.3;47724.1|-31318.7|-255.7,79,604.0952847433281,79,723.9703908439083,79,1220.1237018833444,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,78,111,48,8.801
12,2908,12.0,81.28361704136404,599.3594888410566,237,593.073669635103,621.9955861834725,603.9517059390472,1.0065861765650785,0.0570192388315972,61097.2|-62149.0|-596.1;-67705.2|10898.1|-369.1;8033.3|94475.7|-705.6;35980.4|-53228.0|-324.0;64381.0|69152.8|-700.6;49458.8|-53617.4|-417.6,79,604.7008839726785,79,716.8259787919002,79,1222.5637618513804,20,152,65,3.37,27,147,63,4.025,78,111,48,8.801
13,2909,13.0,80.56824952891729,600.4517145274739,237,593.1186864431327,624.5507528737865,604.9262627207764,1.0082104378679608,0.07102378636306401,16931.2|36769.7|-128.6;-5846.9|-35063.4|-99.2;-9643.6|-86846.5|-599.3;18209.2|-84788.6|-590.3;68325.0|-16936.4|-388.9;-34244.0|-35185.7|-189.2,79,604.4914866873603,79,725.6084638434,79,1213.0522383248092,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
14,2910,14.0,79.85546346714875,601.6290850710715,237,593.090863323941,627.1426225792751,605.7542563114073,1.0095904271856788,0.08290447983664165,51720.8|581.2|-210.0;67502.6|71038.9|-753.7;-3118.9|13335.0|-14.7;-29929.7|42361.1|-211.1;66421.5|6369.3|-349.4;22309.0|83480.8|-586.0,79,603.9160187511646,79,720.7520547695013,79,1219.263048282989,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,78,111,48,8.801
15,2911,15.0,79.14543572113706,602.8911002510271,237,593.0760223093338,628.6216780828859,608.4788521064319,1.0141314201773863,0.1218847677874249,39229.5|-39323.1|-242.1;71871.8|-5313.8|-407.6;29105.5|26529.5|-121.7;-79832.2|8417.9|-505.8;-55283.8|-53526.9|-464.7;22449.7|-87955.4|-646.7,79,604.3316237461594,79,721.5678194376299,79,1223.654846919121,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,78,111,48,8.801
16,2912,16.0,78.43833863406756,604.2372282099748,237,593.2662464626089,630.9808355814314,607.8742707634534,1.0131237846057557,0.11325022382801057,75115.5|33279.4|-529.8;9810.9|-32827.2|-92.1;55922.2|-65318.2|-580.3;-68718.9|54864.7|-606.9;-37322.2|10642.5|-118.2;90988.4|10782.4|-658.9,79,604.4115061488154,79,720.0791729353783,79,1210.1756801663353,19,153,65,3.2790000000000004,27,147,63,4.025,77,112,48,8.71
17,2913,17.0,77.73433980600305,605.6669065244383,237,593.3749075702574,633.1398661234515,610.4862286758596,1.0174770477930994,0.15049242420102257,16476.7|-61283.3|-316.1;30357.4|27884.4|-133.3;-92523.1|8089.7|-677.0;-74610.2|22690.9|-477.3;32817.0|82897.0|-623.9;-35724.0|83225.2|-643.8,79,604.8529420685974,79,720.0918210701805,79,1214.431523517381,20,152,65,3.37,27,147,63,4.025,77,112,48,8.71
18,2914,18.0,77.03360189091688,607.1795433200328,237,593.7935986716215,637.3483472552932,610.9509323257964,1.0182515538763275,0.15710163004702438,-74611.0|32154.1|-518.0;84104.3|-49290.5|-745.9;96037.5|3246.8|-724.7;3134.3|9113.9|-7.3;-22580.6|-28733.3|-104.8;-4704.6|-66095.0|-344.6,79,604.6806417079523,79,722.3817212325623,79,1211.7941575556301,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
19,2915,19.0,76.33628241237012,608.774518426584,237,594.1597984910323,639.446400257522,614.2680569343102,1.023780094890517,0.2041336282687511,-77578.7|-9641.3|-479.6;18745.2|-43318.7|-174.8;-54275.8|-16328.7|-252.1;-942.6|53294.3|-223.0;-69984.6|-25170.2|-434.1;-1317.7|4994.7|-2.1,79,603.9976984053474,79,720.3671760178951,79,1220.1068665827884,19,153,65,3.2790000000000004,27,147,63,4.025,78,111,48,8.801
20,2916,20.0,75.64253359809157,610.451184568192,237,594.6992303329197,640.5232313573788,614.7704199885927,1.0246173666476546,0.21123425265549858,2471.6|61727.6|-299.5;35585.0|34606.8|-193.4;29720.4|35482.4|-168.1;-10671.3|-82720.3|-546.0;-7269.1|-54257.1|-235.2;-19202.7|18799.9|-56.7,79,604.1835127113901,79,720.9805944567715,79,1214.750527622524,19,153,65,3.2790000000000004,28,146,63,4.1160000000000005,77,112,48,8.71
21,2917,21.0,74.95250223360073,612.2088685833138,237,595.0319141178692,644.927539635023,617.0963646454733,1.028493941075789,0.24403475162891833,-8212.7|-65038.1|-337.3;8685.1|437.3|-5.9;32336.7|82470.6|-615.9;-36164.1|59369.9|-379.3;-43135.3|77138.4|-613.0;-21598.2|-87284.1|-634.5,79,604.6534217919365,79,721.204257554237,79,1216.1287079863116,20,152,65,3.37,28,146,63,4.1160000000000005,77,112,48,8.71
22,2918,22.0,74.26632953489643,614.0468726698845,237,596.170624998381,647.4896639705114,618.2049758358615,1.0303416263931024,0.2596249185312382,-2651.2|23344.7|-43.3;48480.6|48020.0|-365.4;-48815.1|-82118.8|-716.3;-11651.9|80751.8|-522.4;20066.3|31311.8|-108.5;26559.5|-90757.4|-701.8,79,604.0606320280051,79,717.7284996682264,79,1222.0756226599021,19,153,65,3.2790000000000004,27,147,63,4.025,78,111,48,8.801
