step,orbit_index,sat_lat_deg,sat_lon_deg,footprint_radius_m,footprint_area_km2,footprint_earth_surface_ratio,footprint_horizon_utilization_ratio,covered_population_total,covered_population_points,covered_population_ratio,covered_ocean_points,covered_ocean_ratio,covered_population_places,covered_ocean_places
26,2922,49.722666520209756,139.59046212888097,98838.62963695762,30690.45333663013,6.016975309360137e-05,0.03732194880505321,48358,2,2.0387579230559445e-05,1,0.0006357279084551812,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,Unknown River|River|Russia
27,2923,49.7848190491225,139.59019759977116,98838.6659323137,30690.475876828048,6.016979728448146e-05,0.03732195614939603,18618,1,7.849289675225522e-06,1,0.0006357279084551812,Vanino|City|Russia,Unknown River|River|Russia
28,2924,49.846971566249536,139.58993331916895,98838.70359690518,30690.499267359388,6.016984314247124e-05,0.03732196377080164,18618,1,7.849289675225522e-06,1,0.0006357279084551812,Vanino|City|Russia,Unknown River|River|Russia
29,2925,49.9091240711537,139.58966929630054,98838.74263068615,30690.52350819661,6.0169890667516715e-05,0.0373219716692606,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
30,2926,49.971276563397765,139.58940554039452,98838.78303361157,30690.548599312762,6.0169939859565045e-05,0.03732197984476371,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
31,2927,50.03342904254442,139.58914206068187,98838.82480563316,30690.574540678906,6.016999071855949e-05,0.037321988297301024,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
32,2928,50.095581508156286,139.58887886639639,98838.86794670128,30690.601332265276,6.01700432444417e-05,0.037321997026862376,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
33,2929,50.1577339597959,139.5886159667744,98838.91245676515,30690.628974041454,6.017009743715203e-05,0.03732200603343733,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
34,2930,50.21988639702571,139.58835337105506,98838.958335772,30690.657465975833,6.0170153296628526e-05,0.037322015317015074,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
35,2931,50.28203881940811,139.58809108848027,98839.0055836675,30690.686808035847,6.017021082280733e-05,0.03732202487758447,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
36,2932,50.34419122650536,139.58782912829508,98839.05420039594,30690.717000188106,6.017027001562299e-05,0.03732203471513405,48358,2,2.0387579230559445e-05,0,0.0,Sovetskaya Gavan|City|Russia;Vanino|City|Russia,
37,2933,50.406343617879664,139.58756749974748,98839.1041858991,30690.74804239772,6.0170330875007096e-05,0.03732204482965189,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
38,2934,50.468495993093136,139.58730621208838,98839.15554011893,30690.779934629936,6.017039340089151e-05,0.03732205522112606,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
39,2935,50.530648351707775,139.58704527457223,98839.20826299349,30690.812676847603,6.01704575932034e-05,0.03732206588954388,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
40,2936,50.5928006932855,139.58678469645662,98839.26235446085,30690.84626901362,6.017052345187003e-05,0.037322076834892616,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
41,2937,50.65495301738812,139.5865244870024,98839.31781445739,30690.880711089874,6.0170590976816686e-05,0.037322088057159246,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
42,2938,50.71710532357734,139.5862646554741,98839.37464291665,30690.916003036516,6.017066016796524e-05,0.03732209955633007,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
43,2939,50.779257611414785,139.58600521113965,98839.43283977205,30690.952144813684,6.017073102523751e-05,0.03732211133239148,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
44,2940,50.84140988046193,139.58574616327076,98839.49240495435,30690.989136379856,6.0170803548552135e-05,0.037322123385329246,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
45,2941,50.90356213028018,139.58548752114268,98839.5533383931,30691.026977692833,6.017087773782635e-05,0.03732213571512892,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
46,2942,50.965714360430795,139.58522929403472,98839.61564001613,30691.065668709354,6.0170953592975364e-05,0.037322148321775696,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
47,2943,51.027866570474956,139.5849714912299,98839.67930974966,30691.10520938522,6.01710311139125e-05,0.037322161205254424,3615,1,1.5240725199237437e-06,1,0.0006357279084551812,De-Kastri|City|Russia,Unknown River|River|Russia
48,2944,51.09001875997368,139.58471412201538,98839.74434751878,30691.145599675543,6.0171110300549785e-05,0.037322174365549736,3615,1,1.5240725199237437e-06,1,0.0006357279084551812,De-Kastri|City|Russia,Unknown River|River|Russia
49,2945,51.15217092848791,139.5844571956822,98839.81075324584,30691.18683953378,6.017119115279593e-05,0.037322187802645686,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
50,2946,51.21432307557845,139.5842007215258,98839.87852685277,30691.228928913162,6.0171273670559274e-05,0.03732220151652625,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
51,2947,51.27647520080595,139.58394470884582,98839.94766825903,30691.27186776541,6.017135785374515e-05,0.03732221550717495,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
52,2948,51.338627303730966,139.58368916694616,98840.01817738265,30691.315656041406,6.0171443702257265e-05,0.03732222977457491,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
53,2949,51.40077938391392,139.5834341051352,98840.09005414043,30691.360293691294,6.017153121599788e-05,0.0373222443187091,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
54,2950,51.462931440915085,139.58317953272592,98840.16329844762,30691.405780664307,6.017162039486744e-05,0.03732225913956009,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
55,2951,51.525083474294604,139.58292545903578,98840.23791021667,30691.45211690796,6.017171123876308e-05,0.037322274237109924,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
56,2952,51.587235483612496,139.582671893387,98840.31388935975,30691.49930236961,6.017180374758157e-05,0.037322289611340605,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
57,2953,51.64938746842861,139.5824188451067,98840.39123578696,30691.5473369954,6.017189792121733e-05,0.03732230526223365,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
58,2954,51.71153942830267,139.58216632352674,98840.46994940657,30691.59622073037,6.01719937595626e-05,0.03732232118977028,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
59,2955,51.77369136279427,139.5819143379839,98840.55003012561,30691.645953518782,6.017209126250811e-05,0.03732233739393138,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
60,2956,51.83584327146281,139.5816628978203,98840.63147784925,30691.696535303825,6.017219042994248e-05,0.0373223538746975,3615,1,1.5240725199237437e-06,0,0.0,De-Kastri|City|Russia,
