country,iso3,step,satellite_latitude,satellite_longitude,country_share,step_devices_total,step_demods_total,selected_nodes,selected_demods,series_demod_used,sent_packets_used,decoded_payload_base,decoded_payload_early_decode,decoded_payload_early_drop,decoded_payload_early_decode_drop,decoded_payload_mean,collision_rate,elevation_deg,footprint_radius_m,footprint_area_km2,idle_demodulators,busy_demodulators
Australia,AUS,599,-36.122603,133.461851,1.0,1828,1000,260,100,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,98,2
Australia,AUS,600,-35.945901,133.564725,1.0,1828,1000,7,1000,1000,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,601,-35.769129,133.665483,1.0,1828,1000,260,700,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,698,2
Australia,AUS,602,-35.592291,133.764186,1.0,1828,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,603,-35.415388,133.86089,1.0,1828,1000,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,93,7
Australia,AUS,604,-35.238421,133.955649,1.0,1828,1000,400,500,100,390,298.8,388.8,4.3,393.1,388.8,0.003076923076923088,90.0,500000.0,785398.1633974483,498,2
Australia,AUS,605,-35.061393,134.048518,1.0,1828,1000,40,500,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,499,1
Australia,AUS,606,-34.884304,134.139547,1.0,1828,1000,260,300,100,255,255.0,254.8,1.8,256.6,254.8,0.0007843137254901489,90.0,500000.0,785398.1633974483,298,2
Australia,AUS,607,-34.707158,134.228786,1.0,1828,1000,180,500,100,167,166.8,167.0,1.2,168.2,167.0,0.0,90.0,500000.0,785398.1633974483,499,1
Australia,AUS,608,-34.529955,134.316281,1.0,1828,1000,700,300,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,90.0,500000.0,785398.1633974483,297,3
Australia,AUS,609,-34.352696,134.40208,1.0,1828,1000,180,100,100,167,166.8,167.0,1.2,168.2,167.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,610,-34.175384,134.486225,1.0,1828,1000,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,93,7
Australia,AUS,611,-33.998019,134.568761,1.0,1828,1000,40,300,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,612,-33.820603,134.649728,1.0,1828,1000,700,700,100,686,299.0,569.4,18.9,588.3,569.4,0.16997084548104957,90.0,500000.0,785398.1633974483,697,3
Australia,AUS,613,-33.643137,134.729166,1.0,1828,1000,400,1000,1000,390,389.4,389.0,5.5,394.5,389.0,0.002564102564102555,90.0,500000.0,785398.1633974483,998,2
Australia,AUS,614,-33.465623,134.807115,1.0,1828,1000,40,1000,1000,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,999,1
Australia,AUS,615,-33.288061,134.883611,1.0,1828,1000,1500,700,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,693,7
Australia,AUS,616,-33.110453,134.95869,1.0,1828,1000,1500,500,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,493,7
Australia,AUS,617,-32.9328,135.032388,1.0,1828,1000,40,700,100,40,40.0,40.0,0.0,40.0,40.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,618,-32.755103,135.104739,1.0,1828,1000,90,100,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,619,-32.577362,135.175775,1.0,1828,1000,90,300,100,95,94.8,95.0,0.1,95.1,95.0,0.0,90.0,500000.0,785398.1633974483,299,1
Australia,AUS,620,-32.39958,135.245528,1.0,1828,1000,700,1000,1000,686,683.2,684.4,23.3,707.6999999999999,684.4,0.0023323615160349975,90.0,500000.0,785398.1633974483,997,3
Australia,AUS,621,-32.221757,135.314028,1.0,1828,1000,2,100,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,99,1
Australia,AUS,622,-32.043894,135.381306,1.0,1828,1000,180,700,100,167,166.8,167.0,1.2,168.2,167.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,623,-31.865992,135.447391,1.0,1828,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
Australia,AUS,624,-31.688052,135.512309,1.0,1828,1000,1500,100,100,1599,293.6,530.1,92.9,623.0,530.1,0.6684803001876172,90.0,500000.0,785398.1633974483,93,7
Australia,AUS,625,-31.510075,135.576089,1.0,1828,1000,1000,100,100,1048,298.4,567.4,45.8,613.1999999999999,567.4,0.458587786259542,90.0,500000.0,785398.1633974483,95,5
Australia,AUS,626,-31.332061,135.638756,1.0,1828,1000,7,700,100,10,10.0,10.0,0.0,10.0,10.0,0.0,90.0,500000.0,785398.1633974483,699,1
