country,iso3,selected_nodes,decoded_payload_base,decoded_payload_early_decode,decoded_payload_early_drop,decoded_payload_early_decode_drop,decoded_payload_mean,collision_rate_mean,step_samples
Australia,AUS,312.4795918367347,175.18979591836734,224.52704081632655,14.61530612244898,239.1423469387755,224.52704081632655,0.07026997459888695,196
Canada,CAN,14.03225806451613,14.03225806451613,14.03225806451613,0.0,14.03225806451613,14.03225806451613,0.0,62
Greenland,GRL,10.0,10.0,10.0,0.0,10.0,10.0,0.0,105
Japan,JPN,445.9047619047619,221.61309523809518,301.0059523809524,19.616666666666667,320.62261904761897,301.0059523809524,0.11213148275615058,84
Papua New Guinea,PNG,15.238095238095237,15.238095238095237,15.238095238095237,0.0,15.238095238095237,15.238095238095237,0.0,21
Russian Federation,RUS,336.4387755102041,216.03163265306122,255.93520408163266,20.34438775510204,276.2795918367347,255.93520408163266,0.05856243770450155,196
Saint Pierre and Miquelon,SPM,10.0,10.0,10.0,0.0,10.0,10.0,0.0,41
