feature_name,feature_type,country,ocean,population,latitude,longitude
Unknown River,River,Russia,,0,66.591924468314,148.38933573258402
Unknown River,River,China,,0,48.41394188259026,126.27248543764263
Unknown River,River,Russia,,0,63.50271105940444,166.4516201481958
Unknown River,River,China,,0,33.594377276987316,113.96077280654696
Unknown River,River,China,,0,45.177825688772856,131.464243381857
Unknown River,River,Brazil,,0,-24.010888675311687,-52.04661725247084
Unknown River,River,Paraguay,,0,-24.171454304946867,-56.038780613192
Unknown River,River,Argentina,,0,-32.30399665398474,-63.653641437103595
Unknown River,River,Brazil,,0,-21.179760342748654,-47.49807683390087
Unknown River,River,Chile,,0,-48.26088767289029,-73.13943360929895
Unknown River,River,S. Sudan,,0,7.262207100390624,33.028274363591876
Unknown River,River,Tanzania,,0,-4.990328302932723,31.06207224390613
Unknown River,River,Bangladesh,,0,22.453674514053866,92.06099737659498
Unknown River,River,China,,0,30.35524952112262,83.58254128980167
Unknown River,River,India,,0,24.73897289404868,92.43994437015601
Unknown River,River,Bangladesh,,0,24.18386668193762,91.06705012302928
Unknown River,River,India,,0,27.471554445409975,84.14000771557258
Unknown River,River,India,,0,12.895617989004844,92.85391785469618
Unknown River,River,India,,0,12.317042723648711,92.82488322194071
Unknown River,River,India,,0,12.1294958600608,92.76013351266528
Unknown River,River,China,,0,32.81835569448722,116.02737540817122
Unknown River,River,Argentina,,0,-32.81563767522929,-61.76625130978212
Unknown River,River,Zimbabwe,,0,-18.253473867935238,26.9586363256782
Unknown River,River,Paraguay,,0,-25.377519468073825,-54.7956773674975
Unknown River,River,Uruguay,,0,-33.20994215679181,-53.855501792570784
Unknown River,River,Brazil,,0,-32.71642825362206,-53.060094733989985
Unknown River,River,Brazil,,0,-5.1013344829098655,-72.04699463744026
Unknown River,River,Venezuela,,0,9.430214244377355,-67.21468242869304
Unknown River,River,Venezuela,,0,9.131753140725671,-67.2930927087618
Unknown River,River,Argentina,,0,-39.47722972409427,-69.02242549802084
Unknown River,River,Argentina,,0,-40.05967454300749,-69.87051846817543
Unknown River,River,China,,0,43.640669139319776,126.8236978068176
Unknown River,River,China,,0,44.11425568656303,126.25103521357485
Unknown River,River,Gabon,,0,-0.8025762274404709,10.005834533381458
Unknown River,River,Gabon,,0,-0.958065029784578,11.736953539252433
